Date,Name,Year,Letterboxd URI,Rating
2025-05-10,The Whale,2022,https://boxd.it/tw4c,3.5
2025-05-10,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3.5
2025-05-10,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2025-05-10,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,1
2025-05-10,All Quiet on the Western Front,2022,https://boxd.it/H08,4.5
2025-05-10,The Northman,2022,https://boxd.it/nK2s,4
2025-05-10,Lightyear,2022,https://boxd.it/qV1G,2.5
2025-05-10,See How They Run,2022,https://boxd.it/sNVq,3
2025-05-10,Black Widow,2021,https://boxd.it/hWV8,2.5
2025-05-10,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
2025-05-10,Free Guy,2021,https://boxd.it/k8dm,3
2025-05-10,The Green Knight,2021,https://boxd.it/kuy2,3.5
2025-05-10,The Power of the Dog,2021,https://boxd.it/m99E,1
2025-05-10,CODA,2021,https://boxd.it/tbf4,3.5
2025-05-10,The Last Duel,2021,https://boxd.it/mQbe,4.5
2025-05-10,Palm Springs,2020,https://boxd.it/lCXQ,3.5
2025-05-10,Normal People,2020,https://boxd.it/q2VY,5
